Distribution,Ordenation,Array Length,Time
poisson,quickSort,50,0.0
poisson,quickSort,100,0.0
poisson,quickSort,150,0.0
poisson,quickSort,200,0.0
poisson,quickSort,250,0.0
poisson,quickSort,300,0.0
poisson,quickSort,350,0.00078125
poisson,quickSort,400,0.0
poisson,quickSort,450,0.0
poisson,quickSort,500,0.00078125
poisson,quickSort,550,0.00078125
poisson,quickSort,600,0.0015625
poisson,quickSort,650,0.0015625
poisson,quickSort,700,0.00234375
poisson,quickSort,750,0.0015625
random,quickSort,50,0.0
random,quickSort,100,0.0
random,quickSort,150,0.0
random,quickSort,200,0.0
random,quickSort,250,0.0
random,quickSort,300,0.0
random,quickSort,350,0.0
random,quickSort,400,0.00078125
random,quickSort,450,0.0
random,quickSort,500,0.0
random,quickSort,550,0.0015625
random,quickSort,600,0.00078125
random,quickSort,650,0.00078125
random,quickSort,700,0.00234375
random,quickSort,750,0.0015625
binomial,quickSort,50,0.0
binomial,quickSort,100,0.0
binomial,quickSort,150,0.0
binomial,quickSort,200,0.0
binomial,quickSort,250,0.00078125
binomial,quickSort,300,0.00078125
binomial,quickSort,350,0.0015625
binomial,quickSort,400,0.00078125
binomial,quickSort,450,0.00078125
binomial,quickSort,500,0.0015625
binomial,quickSort,550,0.00234375
binomial,quickSort,600,0.0015625
binomial,quickSort,650,0.00234375
binomial,quickSort,700,0.0015625
binomial,quickSort,750,0.00234375
geometric,quickSort,50,0.0
geometric,quickSort,100,0.0
geometric,quickSort,150,0.0
geometric,quickSort,200,0.0
geometric,quickSort,250,0.0
geometric,quickSort,300,0.0
geometric,quickSort,350,0.0
geometric,quickSort,400,0.0015625
geometric,quickSort,450,0.0
geometric,quickSort,500,0.0
geometric,quickSort,550,0.0
geometric,quickSort,600,0.00078125
geometric,quickSort,650,0.00078125
geometric,quickSort,700,0.00078125
geometric,quickSort,750,0.00234375
poisson,selectionSort,50,0.0
poisson,selectionSort,100,0.0
poisson,selectionSort,150,0.0
poisson,selectionSort,200,0.0015625
poisson,selectionSort,250,0.00390625
poisson,selectionSort,300,0.00703125
poisson,selectionSort,350,0.00859375
poisson,selectionSort,400,0.00859375
poisson,selectionSort,450,0.0125
poisson,selectionSort,500,0.01640625
poisson,selectionSort,550,0.01875
poisson,selectionSort,600,0.02578125
poisson,selectionSort,650,0.025
poisson,selectionSort,700,0.01640625
poisson,selectionSort,750,0.03515625
random,selectionSort,50,0.0
random,selectionSort,100,0.00078125
random,selectionSort,150,0.0
random,selectionSort,200,0.0015625
random,selectionSort,250,0.0015625
random,selectionSort,300,0.003125
random,selectionSort,350,0.00859375
random,selectionSort,400,0.0125
random,selectionSort,450,0.00703125
random,selectionSort,500,0.01015625
random,selectionSort,550,0.0109375
random,selectionSort,600,0.02109375
random,selectionSort,650,0.0234375
random,selectionSort,700,0.02578125
random,selectionSort,750,0.034375
binomial,selectionSort,50,0.0
binomial,selectionSort,100,0.00078125
binomial,selectionSort,150,0.00078125
binomial,selectionSort,200,0.00078125
binomial,selectionSort,250,0.003125
binomial,selectionSort,300,0.00078125
binomial,selectionSort,350,0.00625
binomial,selectionSort,400,0.0078125
binomial,selectionSort,450,0.01015625
binomial,selectionSort,500,0.0109375
binomial,selectionSort,550,0.01953125
binomial,selectionSort,600,0.0203125
binomial,selectionSort,650,0.0234375
binomial,selectionSort,700,0.02734375
binomial,selectionSort,750,0.0359375
geometric,selectionSort,50,0.0
geometric,selectionSort,100,0.00078125
geometric,selectionSort,150,0.00078125
geometric,selectionSort,200,0.0015625
geometric,selectionSort,250,0.0015625
geometric,selectionSort,300,0.00546875
geometric,selectionSort,350,0.00859375
geometric,selectionSort,400,0.0125
geometric,selectionSort,450,0.0140625
geometric,selectionSort,500,0.01484375
geometric,selectionSort,550,0.01875
geometric,selectionSort,600,0.02109375
geometric,selectionSort,650,0.02890625
geometric,selectionSort,700,0.0359375
geometric,selectionSort,750,0.040625
poisson,insertionSort,50,0.0
poisson,insertionSort,100,0.0
poisson,insertionSort,150,0.0
poisson,insertionSort,200,0.0015625
poisson,insertionSort,250,0.0015625
poisson,insertionSort,300,0.00078125
poisson,insertionSort,350,0.00234375
poisson,insertionSort,400,0.0015625
poisson,insertionSort,450,0.00546875
poisson,insertionSort,500,0.00625
poisson,insertionSort,550,0.01015625
poisson,insertionSort,600,0.00703125
poisson,insertionSort,650,0.00859375
poisson,insertionSort,700,0.01796875
poisson,insertionSort,750,0.01328125
random,insertionSort,50,0.0
random,insertionSort,100,0.0
random,insertionSort,150,0.0015625
random,insertionSort,200,0.00078125
random,insertionSort,250,0.0
random,insertionSort,300,0.00234375
random,insertionSort,350,0.0015625
random,insertionSort,400,0.003125
random,insertionSort,450,0.0078125
random,insertionSort,500,0.00703125
random,insertionSort,550,0.0140625
random,insertionSort,600,0.0109375
random,insertionSort,650,0.01328125
random,insertionSort,700,0.0171875
random,insertionSort,750,0.02265625
binomial,insertionSort,50,0.0
binomial,insertionSort,100,0.0
binomial,insertionSort,150,0.0
binomial,insertionSort,200,0.00078125
binomial,insertionSort,250,0.0015625
binomial,insertionSort,300,0.0015625
binomial,insertionSort,350,0.003125
binomial,insertionSort,400,0.00390625
binomial,insertionSort,450,0.003125
binomial,insertionSort,500,0.00703125
binomial,insertionSort,550,0.0125
binomial,insertionSort,600,0.0125
binomial,insertionSort,650,0.0140625
binomial,insertionSort,700,0.01328125
binomial,insertionSort,750,0.0234375
geometric,insertionSort,50,0.0
geometric,insertionSort,100,0.00078125
geometric,insertionSort,150,0.00078125
geometric,insertionSort,200,0.0
geometric,insertionSort,250,0.0015625
geometric,insertionSort,300,0.003125
geometric,insertionSort,350,0.0046875
geometric,insertionSort,400,0.0046875
geometric,insertionSort,450,0.00859375
geometric,insertionSort,500,0.00703125
geometric,insertionSort,550,0.00859375
geometric,insertionSort,600,0.0125
geometric,insertionSort,650,0.015625
geometric,insertionSort,700,0.0171875
geometric,insertionSort,750,0.02265625
poisson,shellSort,50,0.0
poisson,shellSort,100,0.0
poisson,shellSort,150,0.0
poisson,shellSort,200,0.0
poisson,shellSort,250,0.0
poisson,shellSort,300,0.0
poisson,shellSort,350,0.0
poisson,shellSort,400,0.00078125
poisson,shellSort,450,0.0
poisson,shellSort,500,0.0
poisson,shellSort,550,0.00078125
poisson,shellSort,600,0.0015625
poisson,shellSort,650,0.00078125
poisson,shellSort,700,0.00078125
poisson,shellSort,750,0.0015625
random,shellSort,50,0.0
random,shellSort,100,0.0
random,shellSort,150,0.0
random,shellSort,200,0.0
random,shellSort,250,0.0
random,shellSort,300,0.00078125
random,shellSort,350,0.00078125
random,shellSort,400,0.0
random,shellSort,450,0.0
random,shellSort,500,0.0015625
random,shellSort,550,0.0
random,shellSort,600,0.0015625
random,shellSort,650,0.0015625
random,shellSort,700,0.00078125
random,shellSort,750,0.00078125
binomial,shellSort,50,0.0
binomial,shellSort,100,0.0
binomial,shellSort,150,0.0
binomial,shellSort,200,0.0
binomial,shellSort,250,0.0
binomial,shellSort,300,0.0
binomial,shellSort,350,0.00078125
binomial,shellSort,400,0.0
binomial,shellSort,450,0.00078125
binomial,shellSort,500,0.0
binomial,shellSort,550,0.00078125
binomial,shellSort,600,0.0
binomial,shellSort,650,0.0
binomial,shellSort,700,0.00234375
binomial,shellSort,750,0.0
geometric,shellSort,50,0.0
geometric,shellSort,100,0.0
geometric,shellSort,150,0.0
geometric,shellSort,200,0.0
geometric,shellSort,250,0.00078125
geometric,shellSort,300,0.0
geometric,shellSort,350,0.00078125
geometric,shellSort,400,0.00078125
geometric,shellSort,450,0.0
geometric,shellSort,500,0.00078125
geometric,shellSort,550,0.0015625
geometric,shellSort,600,0.00078125
geometric,shellSort,650,0.0015625
geometric,shellSort,700,0.0
geometric,shellSort,750,0.0015625
poisson,countingSort,50,0.0
poisson,countingSort,100,0.0
poisson,countingSort,150,0.0
poisson,countingSort,200,0.0
poisson,countingSort,250,0.0
poisson,countingSort,300,0.0
poisson,countingSort,350,0.0
poisson,countingSort,400,0.0
poisson,countingSort,450,0.00078125
poisson,countingSort,500,0.00078125
poisson,countingSort,550,0.0
poisson,countingSort,600,0.0
poisson,countingSort,650,0.0
poisson,countingSort,700,0.0
poisson,countingSort,750,0.00078125
random,countingSort,50,0.0
random,countingSort,100,0.0
random,countingSort,150,0.0
random,countingSort,200,0.0
random,countingSort,250,0.0
random,countingSort,300,0.0
random,countingSort,350,0.0
random,countingSort,400,0.0
random,countingSort,450,0.0
random,countingSort,500,0.00078125
random,countingSort,550,0.0
random,countingSort,600,0.00078125
random,countingSort,650,0.0
random,countingSort,700,0.00078125
random,countingSort,750,0.0
binomial,countingSort,50,0.0
binomial,countingSort,100,0.0
binomial,countingSort,150,0.0
binomial,countingSort,200,0.0
binomial,countingSort,250,0.0
binomial,countingSort,300,0.0
binomial,countingSort,350,0.00078125
binomial,countingSort,400,0.00078125
binomial,countingSort,450,0.0
binomial,countingSort,500,0.0
binomial,countingSort,550,0.0
binomial,countingSort,600,0.00234375
binomial,countingSort,650,0.0
binomial,countingSort,700,0.0
binomial,countingSort,750,0.00078125
geometric,countingSort,50,0.0
geometric,countingSort,100,0.0
geometric,countingSort,150,0.0
geometric,countingSort,200,0.0
geometric,countingSort,250,0.0
geometric,countingSort,300,0.0
geometric,countingSort,350,0.0
geometric,countingSort,400,0.0
geometric,countingSort,450,0.0
geometric,countingSort,500,0.0
geometric,countingSort,550,0.00234375
geometric,countingSort,600,0.0
geometric,countingSort,650,0.0
geometric,countingSort,700,0.00078125
geometric,countingSort,750,0.0
